Application: Tecan i-control,,,,"Tecan i-control , 1.9.17.0",,,,,,,,
Device: infinite 200,,,,Serial number: 604000009,,,,Serial number of connected stacker:,,,,
Firmware: V_2.11_04/08_InfiniTe (Apr  4 2008/14.37.11),,,,"MAI, V_2.11_04/08_InfiniTe (Apr  4 2008/14.37.11)",,,,,,,,
,,,,,,,,,,,,
Date:,10/30/17,,,,,,,,,,,
Time:,3:46:44 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,ARNOLDGROUP-PC,,,,,,,,
User,,,,Arnoldgroup-PC\Arnold group,,,,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrol  [GRE96ft.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
Shaking (Linear) Duration:,,,,5,s,,,,,,,
Shaking (Linear) Amplitude:,,,,2,mm,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: Label1,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,300,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,10/30/2017 3:46:50 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 20 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,1.475000024,1.503399968,1.472300053,1.500499964,1.447600007,1.474699974,1.442600012,1.534199953,1.505599976,1.618899941,1.562000036,1.455000043
B,1.485800028,1.449499965,1.478099942,1.399399996,1.491899967,1.46389997,1.457299948,1.441900015,1.466599941,1.507200003,1.416000009,1.394500017
C,1.457900047,1.415699959,1.436699986,1.38530004,1.363199949,1.449699998,1.425300002,1.388599992,1.408100009,1.397899985,1.407099962,1.35529995
D,1.471099973,1.432000041,1.397099972,1.453600049,1.39289999,1.40260005,1.386500001,1.473099947,1.403300047,1.401299953,1.447199941,1.368800044
E,1.477399945,1.410599947,1.392500043,1.46329999,1.371799946,1.446499944,1.421800017,1.44630003,1.445500016,1.484899998,1.406100035,1.16170001
F,1.444000006,1.409199953,1.42809999,1.394099951,1.370300055,1.44599998,1.371700048,1.385699987,1.41929996,1.401100039,1.395400047,1.335999966
G,1.422199965,1.366099954,1.364500046,1.349799991,1.364899993,1.372200012,1.354500055,1.331699967,1.366700053,1.387500048,1.345299959,1.291800022
H,1.377200007,1.337000012,1.333600044,1.377400041,1.41989994,1.394299984,1.341799974,1.449599981,1.426200032,1.33039999,1.409000039,1.312999964
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,10/30/2017 3:48:07 PM,,,,,,,,,,,
